val,meas,response,concentration
0.4414790668836662,BGE,positive,1.0e-5
0.4381394227894193,BGE,positive,1.0e-5
0.44134460206538373,BGE,positive,1.0e-5
0.43621802157564643,BGE,positive,1.0e-5
0.4467795695035081,BGE,positive,1.0e-5
0.4446734729501782,BGE,positive,1.0e-5
0.4457255485383638,BGE,positive,1.0e-5
0.4444330678383106,BGE,negative,1.0e-5
0.4443000373333746,BGE,negative,1.0e-5
0.4449763941121257,BGE,negative,1.0e-5
0.4452753510750991,BGE,positive,1.0e-5
0.4455410453392519,BGE,positive,1.0e-5
0.439369414976,BGE,positive,1.0e-5
0.4345229940970044,BGE,negative,1.0e-5
0.43365067850177264,BGE,positive,1.0e-5
0.44244741952296346,BGE,positive,1.0e-5
0.4306601656634296,BGE,negative,1.0e-5
0.4456147787940662,BGE,positive,1.0e-5
0.39715207518419904,BGE,positive,1.0e-5
0.44193936936483214,BGE,negative,1.0e-5
0.442829102983636,BGE,negative,1.0e-5
0.43675737742473164,BGE,positive,1.0e-5
0.0,BGE,positive,1.0e-5
0.41441744434137123,BGE,positive,1.0e-5
0.44330495858079594,BGE,positive,1.0e-5
0.0,BGE,positive,1.0e-5
0.45267846965955594,BGE,negative,1.0e-5
0.4514495712903776,BGE,positive,1.0e-5
0.448419274170568,BGE,positive,1.0e-5
0.45309110138831876,BGE,positive,1.0e-5
0.44750758857346584,BGE,positive,1.0e-5
0.4543339905252561,BGE,positive,1.0e-5
0.45072865531535633,BGE,positive,1.0e-5
0.4534999416395261,BGE,positive,1.0e-5
0.0,BGE,negative,1.0e-5
0.0,BGE,negative,1.0e-5
0.45385202966410293,BGE,negative,1.0e-5
0.45478420869082536,BGE,positive,1.0e-5
0.0,BGE,positive,1.0e-5
0.44974915426812184,BGE,positive,1.0e-5
0.44680532364013026,BGE,negative,1.0e-5
0.0,BGE,positive,1.0e-5
0.0,BGE,positive,1.0e-5
0.4436702301708005,BGE,negative,1.0e-5
0.45501991251264506,BGE,positive,1.0e-5
0.4195087068037312,BGE,positive,1.0e-5
0.0,BGE,negative,1.0e-5
0.45263383739139895,BGE,negative,1.0e-5
0.0,BGE,positive,1.0e-5
0.0,BGE,positive,1.0e-5
0.4326406894987967,BGE,positive,1.0e-5
0.45323749179353645,BGE,positive,1.0e-5
0.4186748521717193,BGE,positive,0.001
0.34725443473149387,BGE,negative,0.001
0.4296723293051726,BGE,positive,0.001
0.42630840476584714,BGE,positive,0.001
0.4214993397815765,BGE,positive,0.001
0.4295454907342409,BGE,positive,0.001
