concentration,BGE,r
1.0e-7,0.0,0.08017007536622885
1.0e-7,0.27621156779812817,0.017889417281237562
1.0e-5,0.42420931361916653,0.19995999334341177
1.0e-5,0.429038894084584,0.05621272754667088
1.0e-5,0.4212235691242883,0.17039977930765282
1.0e-5,0.41727992088860516,0.15304437391839085
1.0e-5,0.423523119383268,0.1534348132476982
1.0e-5,0.41425457449672554,0.06170768615974661
1.0e-5,0.42913365244913587,0.09265662111137535
1.0e-5,0.42878632010499884,0.18929159330259254
1.0e-5,0.42829313000375635,0.19478520486315698
1.0e-5,0.4287561992753107,0.10239118623643603
1.0e-5,0.4282658976933926,0.11229263503939728
1.0e-5,0.4291403429516477,0.08638709228493313
1.0e-5,0.42620400264018654,0.13558144607943273
1.0e-5,0.4281100695892466,0.16239888899232974
1.0e-5,0.4189662626140579,0.13936799781745585
1.0e-5,0.40850082944784355,0.09937532049884676
1.0e-5,0.40627869182108894,0.09938870402146492
1.0e-5,0.42371094586542357,0.10888354323413386
1.0e-5,0.4044895668322706,0.03838895399256548
1.0e-5,0.42642474371875816,0.02792394403430029
1.0e-5,0.36046773445500435,0.11446985967153038
1.0e-5,0.4234898748396209,0.17303410719712953
1.0e-5,0.4244893951656868,0.13750146713689154
1.0e-5,0.42300665173733676,0.05170995690223766
1.0e-5,0.4224436823430101,0.051150008439108344
1.0e-5,0.3817777494082834,0.08184354435861514
1.0e-5,0.42490263803812034,0.23754839622948454
1.0e-5,0.4349746002678757,0.24207269764429906
1.0e-5,0.43932556263991274,0.06541966624673752
1.0e-5,0.43358675234110894,0.21597897258154658
1.0e-5,0.4306417418046444,0.19722215634181117
1.0e-5,0.43615795271303615,0.20538502710169917
1.0e-5,0.4284712072200973,0.08266948130782185
1.0e-5,0.44027444436710245,0.11313275757685771
1.0e-5,0.4398035762301338,0.2127269527527179
1.0e-5,0.43899518373210594,0.22977909058195853
1.0e-5,0.439793978802104,0.13080561864392062
1.0e-5,0.43805000815387274,0.12078810246150416
1.0e-5,0.4383224172394641,0.09008386254415914
1.0e-5,0.43843249423571584,0.19035859489837934
1.0e-5,0.4396139090011314,0.21681050412643255
1.0e-5,0.4319097837853796,0.1786256836161477
1.0e-5,0.4266946577659994,0.1496704928585577
1.0e-5,0.4254806376231753,0.14855918869645587
1.0e-5,0.43506801948039814,0.13643590095602462
1.0e-5,0.42200169480481786,0.05115138023060041
1.0e-5,0.43884388109159284,0.041960132562925266
1.0e-5,0.38485267174826565,0.15130702668313345
1.0e-5,0.4344903781410304,0.21448622364516515
1.0e-5,0.43555768088985597,0.1714682209773123
1.0e-5,0.42711191408173566,0.058058361769259596
1.0e-5,0.42708208658006397,0.057373679709298374
1.0e-5,0.4037969733565089,0.11138392897229651
1.0e-5,0.4360004913980797,0.29283811880016614
1.0e-5,0.39755918595793277,0.15402790028590563
1.0e-5,0.4032176961781926,0.038364729629134495
